"user_name","start_date","end_date"
"Sotiale","2012-11-16 00:00:00","2013-01-04 00:00:00"
"Zolo","2012-11-18 00:00:00","2017-03-01 00:00:00"
"Vogone","2012-12-08 00:00:00","2013-01-07 00:00:00"
"Ebrahim","2013-05-25 00:00:00","2013-12-29 00:00:00"
"Ebraminio","2013-05-25 00:00:00","2013-12-29 00:00:00"
"Guerillero","2012-11-08 00:00:00","2013-02-08 00:00:00"
"SarahStierch","2012-11-08 00:00:00","2013-02-08 00:00:00"
"Superzerocool","2012-11-08 00:00:00","2013-02-08 00:00:00"
"Restu20","2012-11-08 00:00:00","2013-02-08 00:00:00"
"Sebleouf","2012-11-08 00:00:00","2013-02-08 00:00:00"
"Emijrp","2012-11-08 00:00:00","2013-02-08 00:00:00"
"Seewolf","2012-11-08 00:00:00","2013-02-08 00:00:00"
"Merlissimo","2012-11-08 00:00:00","2013-08-01 00:00:00"
"Wiki13","2012-11-08 00:00:00","2013-12-09 00:00:00"
"Sven Manguard","2012-11-08 00:00:00","2015-01-01 00:00:00"
"Benoit Rochon","2012-11-08 00:00:00","2015-02-01 00:00:00"
"Tpt","2012-11-08 00:00:00","2015-02-01 00:00:00"
"Raymond","2012-11-08 00:00:00","2015-05-02 00:00:00"
"Lomita","2012-11-09 00:00:00","2013-01-26 00:00:00"
"Grondin","2012-11-09 00:00:00","2013-02-03 00:00:00"
"ShinePhantom","2012-11-10 00:00:00","2013-01-31 00:00:00"
"Yiyi","2012-11-10 00:00:00","2013-02-10 00:00:00"
"Vituzzu","2012-11-10 00:00:00","2014-12-01 00:00:00"
"Jitrixis","2012-11-10 00:00:00","2015-03-01 00:00:00"
"Hydriz","2012-11-12 00:00:00","2013-01-28 00:00:00"
"Zanka","2012-11-12 00:00:00","2013-02-12 00:00:00"
"Pigsonthewing","2012-11-13 00:00:00","2013-02-12 00:00:00"
"Yair rand","2012-11-13 00:00:00","2014-09-03 00:00:00"
"Jdforrester","2012-11-13 00:00:00","2015-01-01 00:00:00"
"Leag","2012-11-15 00:00:00","2013-02-12 00:00:00"
"Koavf","2012-11-15 00:00:00","2013-02-12 00:00:00"
"Danny B.","2012-11-15 00:00:00","2013-02-12 00:00:00"
"TBloemink","2012-11-15 00:00:00","2014-04-01 00:00:00"
"TBloemink","2014-05-21 00:00:00","2014-10-01 00:00:00"
"Raystorm","2012-11-16 00:00:00","2013-02-17 00:00:00"
"Kaldari","2012-11-16 00:00:00","2013-02-17 00:00:00"
"Bene*","2012-11-17 00:00:00","2016-08-31 00:00:00"
"Bináris","2012-11-18 00:00:00","2013-02-18 00:00:00"
"Rxy","2012-11-18 00:00:00","2014-10-23 00:00:00"
"Hosiryuhosi","2012-11-18 00:00:00","2014-10-23 00:00:00"
"Morten Haan","2012-11-22 00:00:00","2013-02-22 00:00:00"
"Lukas²³","2012-11-22 00:00:00","2014-01-01 00:00:00"
"CennoxX","2012-11-22 00:00:00","2014-04-30 00:00:00"
"Moe Epsilon","2012-11-22 00:00:00","2014-11-02 00:00:00"
"Theopolisme","2012-11-23 00:00:00","2013-01-04 00:00:00"
"Riley Huntley","2012-11-23 00:00:00","2013-04-29 00:00:00"
"NuvieK","2012-11-23 00:00:00","2013-11-30 00:00:00"
"Stevenliuyi","2012-11-29 00:00:00","2014-04-30 00:00:00"
"Inkowik","2012-11-29 00:00:00","2015-05-15 00:00:00"
"Leyo","2012-12-03 00:00:00","2014-08-04 00:00:00"
"Amire80","2012-12-04 00:00:00","2013-09-30 00:00:00"
"Karol007","2012-12-24 00:00:00","2014-04-30 00:00:00"
"Techman224","2013-01-05 00:00:00","2014-11-02 00:00:00"
"Hazard-SJ","2013-01-08 00:00:00","2018-03-01 00:00:00"
"Sk!d","2013-01-09 00:00:00","2015-03-01 00:00:00"
"Iste Praetor","2013-01-11 00:00:00","2013-11-01 00:00:00"
"Legoktm","2013-02-17 00:00:00","2015-03-01 00:00:00"
"Addshore","2013-02-23 00:00:00","2017-01-01 00:00:00"
"Jon Harald Søby","2013-02-23 00:00:00","2013-11-01 00:00:00"
"Jon Harald Søby","2014-08-18 00:00:00","2017-03-31 00:00:00"
"PinkAmpersand","2013-02-26 00:00:00","2014-06-30 00:00:00"
"Francophonie&Androphilie","2013-02-26 00:00:00","2014-06-30 00:00:00"
"JAn Dudík","2013-02-28 00:00:00","2015-05-14 00:00:00"
"Reza1615","2013-03-01 00:00:00","2013-03-15 00:00:00"
"Snow Blizzard","2013-03-09 00:00:00","2015-03-31 00:00:00"
"Mark91","2013-03-09 00:00:00","2015-03-31 00:00:00"
"Whym","2013-03-12 00:00:00","2017-11-01 00:00:00"
"Jeblad","2013-03-13 00:00:00","2013-09-30 00:00:00"
"Delusion23","2013-03-14 00:00:00","2017-06-30 00:00:00"
"Meisam","2013-03-17 00:00:00","2013-09-30 00:00:00"
"Bill william compton","2013-03-17 00:00:00","2015-01-01 00:00:00"
"Izno","2013-03-24 00:00:00","2014-05-19 00:00:00"
"Ricordisamoa","2013-04-03 00:00:00","2016-12-01 00:00:00"
"Hahc21","2013-04-04 00:00:00","2015-08-01 00:00:00"
"Courcelles","2013-04-12 00:00:00","2017-08-31 00:00:00"
"Nouill","2013-04-14 00:00:00","2015-03-04 00:00:00"
"جواد","2013-04-20 00:00:00","2014-08-04 00:00:00"
"Saehrimnir","2013-04-26 00:00:00","2016-09-30 00:00:00"
"Romaine","2012-11-08 00:00:00",
"John F. Lewis","2013-04-29 00:00:00","2016-03-01 00:00:00"
"FrigidNinja","2013-05-04 00:00:00","2013-06-07 00:00:00"
"Akkakk","2013-05-04 00:00:00","2014-12-01 00:00:00"
"Reaper35","2013-05-05 00:00:00","2015-01-01 00:00:00"
"TCN7JM","2013-05-22 00:00:00","2016-03-01 00:00:00"
"Thecatchernumbersevenjooooemauer","2013-05-22 00:00:00","2016-03-01 00:00:00"
"Place Clichy","2013-05-29 00:00:00","2015-06-30 00:00:00"
"Alan ffm","2013-06-01 00:00:00","2015-05-31 00:00:00"
"Tobias1984","2013-06-02 00:00:00","2015-03-01 00:00:00"
"Mattbr","2013-06-03 00:00:00","2014-01-01 00:00:00"
"Soulkeeper","2013-06-04 00:00:00","2015-03-31 00:00:00"
"DaniDF1995","2013-06-14 00:00:00","2014-01-01 00:00:00"
"Scott5114","2013-06-25 00:00:00","2016-03-01 00:00:00"
"Cycn","2013-07-01 00:00:00","2014-12-08 00:00:00"
"Florn88","2013-07-06 00:00:00","2015-03-01 00:00:00"
"Nizil Shah","2013-07-14 00:00:00","2015-01-01 00:00:00"
"Vyom25","2013-07-15 00:00:00","2015-01-01 00:00:00"
"Chrumps","2013-07-20 00:00:00","2016-04-30 00:00:00"
"Littledogboy","2013-07-22 00:00:00","2014-09-30 00:00:00"
"Ayack","2013-08-02 00:00:00","2016-06-30 00:00:00"
"SPQRobin","2013-08-23 00:00:00","2015-10-01 00:00:00"
"Cheers!","2013-08-30 00:00:00","2016-01-01 00:00:00"
"LadyInGrey","2013-09-01 00:00:00","2017-03-31 00:00:00"
"Denny","2013-10-04 00:00:00","2014-04-30 00:00:00"
"Jakec","2013-10-04 00:00:00","2015-10-01 00:00:00"
"King jakob c 2","2013-10-04 00:00:00","2015-10-01 00:00:00"
"Fomafix","2013-12-14 00:00:00","2017-12-01 00:00:00"
"Innocent bystander","2014-01-10 00:00:00","2014-06-10 00:00:00"
"Innocent bystander","2016-01-07 00:00:00","2016-09-16 00:00:00"
"Lavallen","2014-01-10 00:00:00","2014-06-10 00:00:00"
"Lavallen","2016-01-07 00:00:00","2016-09-16 00:00:00"
"Mushroom","2014-10-21 00:00:00","2017-05-31 00:00:00"
"ElfjeTwaalfje","2014-03-11 00:00:00","2015-03-31 00:00:00"
"JurgenNL","2014-04-29 00:00:00","2014-08-29 00:00:00"
"FakirNL","2014-06-03 00:00:00","2017-01-01 00:00:00"
"555","2014-06-13 00:00:00","2015-05-31 00:00:00"
"Calak","2014-06-17 00:00:00","2017-03-01 00:00:00"
"Andre Engels","2014-06-19 00:00:00","2018-03-01 00:00:00"
"PMG","2014-06-23 00:00:00","2015-05-31 00:00:00"
"Dr Zimbu","2014-06-24 00:00:00","2014-09-05 00:00:00"
"콩가루","2014-06-25 00:00:00","2016-09-30 00:00:00"
"Konggaru","2014-06-25 00:00:00","2016-09-30 00:00:00"
"Gabbe","2014-08-03 00:00:00","2015-03-01 00:00:00"
"Steenth","2014-09-02 00:00:00","2016-09-30 00:00:00"
"Caliburn","2015-01-16 00:00:00","2017-03-01 00:00:00"
"Edoderoo","2015-01-22 00:00:00","2017-01-22 00:00:00"
"Haplology","2015-03-10 00:00:00","2015-11-01 00:00:00"
"Pyb","2017-01-09 00:00:00","2017-08-31 00:00:00"
"Sannita","2012-11-08 00:00:00",
"Arkanosis","2012-11-08 00:00:00",
"Hoo man","2012-11-08 00:00:00",
"Ajraddatz","2012-11-10 00:00:00",
"Jasper Deng","2012-11-11 00:00:00",
"Stryn","2012-11-13 00:00:00",
"Wagino 20100516","2012-11-13 00:00:00",
"Conny","2012-11-15 00:00:00",
"Rzuwig","2012-12-03 00:00:00",
"Rschen7754","2013-01-02 00:00:00",
"Ymblanter","2013-02-19 00:00:00",
"ValterVB‎","2013-02-23 00:00:00",
"*Youngjin","2013-02-25 00:00:00",
"분당선M","2013-02-25 00:00:00",
"Penn Station","2013-04-22 00:00:00",
"Andreasmperu","2013-05-02 00:00:00",
"Multichill","2013-05-03 00:00:00",
"Csigabi","2013-05-13 00:00:00",
"Ebrahim","2016-01-31 00:00:00",
"Ebraminio","2016-01-31 00:00:00",
"Rippitippi","2013-08-19 00:00:00",
"YMS","2013-09-02 00:00:00",
"Ladsgroup","2013-10-15 00:00:00",
"AmaryllisGardener","2013-10-23 00:00:00",
"-revi","2013-11-14 00:00:00",
"Hym411","2013-11-14 00:00:00",
"Matěj Suchánek","2013-12-26 00:00:00",
"Lymantria","2014-01-05 00:00:00",
"Sjoerddebruin","2014-02-03 00:00:00",
"Pasleim","2014-02-12 00:00:00",
"Epìdosis","2014-02-23 00:00:00",
"Pamputt","2014-03-04 00:00:00",
