username,start_date,end_date
Andre Engels,04/20/2004,12/07/2005
Angela,04/20/2004,11/06/2009
Anthere,04/20/2004,03/12/2010
ArnoLagrange,04/20/2004,01/11/2006
Fantasy,04/20/2004,12/21/2007
KarlWick,04/20/2004,06/01/2005
Looxix,04/20/2004,02/02/2005
Mav,04/20/2004,02/28/2013
Andre Engels,03/04/2008,03/06/2013
AstroNomer,05/31/2005,12/13/2005
Danny%7Emetawiki,05/31/2005,03/21/2007
Datrio,05/31/2005,12/21/2007
Oscar,05/31/2005,06/22/2010
Shizhao,05/31/2005,01/22/2009
Sj,05/31/2005,03/11/2011
Snowdog,05/31/2005,12/31/2007
Waerth,05/31/2005,05/31/2006
Yann,05/31/2005,08/03/2009
Shizhao,02/05/2010,03/11/2015
Ascánder,01/11/2006,11/26/2006
Aurevilly,01/11/2006,06/29/2006
Ausir,01/11/2006,12/31/2007
Jon Harald Søby,01/11/2006,07/07/2009
Paginazero,01/11/2006,02/02/2009
Rdsmith4,01/11/2006,03/11/2011
Romihaitza,01/11/2006,12/31/2007
Suisui,01/11/2006,12/31/2007
Walter,01/11/2006,01/04/2010
Jimbo Wales,02/06/2006,02/28/2009
Jon Harald Søby,02/28/2013,03/08/2014
Bastique,12/23/2006,11/24/2011
Cspurrier,12/23/2006,03/12/2010
Darkoneko,12/23/2006,06/09/2012
Dbl2010,12/23/2006,03/03/2009
Effeietsanders,12/23/2006,06/04/2010
Guillom,12/23/2006,09/28/2011
M7,12/23/2006,12/07/2016
Magister Mathematicae,12/23/2006,09/03/2012
MaxSem,12/23/2006,12/23/2008
Pathoschild,12/23/2006,03/01/2014
Redux,12/23/2006,03/12/2010
Shanel,12/23/2006,03/06/2012
DerHexer,12/22/2007,01/01/2018
.anaconda,12/22/2007,02/01/2009
Dungodung,12/22/2007,09/23/2012
Jusjih,12/22/2007,03/08/2014
Lar,12/22/2007,02/08/2010
Millosh,12/22/2007,06/07/2013
Nick1915,12/22/2007,02/05/2012
Spacebirdy,12/22/2007,09/26/2009
Thogo,12/22/2007,02/11/2011
Wojciech Pędzich,12/22/2007,04/02/2009
Zirland,12/22/2007,03/03/2009
Jusjih,02/28/2015,10/12/2015
Thogo,02/04/2013,09/23/2014
Wojciech Pędzich,02/28/2011,03/05/2014
Mardetanha,02/28/2009,03/24/2010
Alexanderps,02/28/2009,03/12/2010
Dorgan,02/28/2009,02/09/2010
Erwin,02/28/2009,10/31/2011
Kylu,02/28/2009,02/17/2011
Laaknor,02/28/2009,10/11/2013
Leinad,02/28/2009,03/08/2014
Meno25,02/28/2009,01/28/2010
Mike.lifeguard,02/28/2009,09/10/2010
Jyothis,03/09/2010,01/01/2018
MarcoAurelio,03/09/2010,05/26/2010
Melos,03/09/2010,01/01/2018
Avraham,03/09/2010,03/13/2018
J.delanoy,03/09/2010,01/10/2015
Mercy,03/09/2010,03/06/2012
Sir Lestaty de Lioncourt,03/09/2010,12/29/2010
Wutsje,03/09/2010,01/12/2012
MarcoAurelio,02/28/2015,01/01/2018
Bsadowski1,02/28/2011,01/01/2018
Matanya,02/28/2011,01/01/2018
Mentifisto,02/28/2011,01/01/2018
Ruslik0,02/28/2011,01/01/2018
Barras,02/28/2011,07/12/2011
Eptalon,02/28/2011,03/06/2012
Fr33kman,02/28/2011,03/06/2013
Jafeluv,02/28/2011,02/29/2012
Manuelt15,02/28/2011,06/12/2011
PeterSymonds,02/28/2011,01/02/2014
Trijnstel,10/07/2011,01/01/2018
Vituzzu,10/07/2011,01/01/2018
Axpde,10/07/2011,03/06/2013
Bencmq,10/07/2011,03/11/2015
Bennylin,10/07/2011,03/13/2017
Quadell,10/07/2011,01/30/2012
Quentinv57,10/07/2011,03/11/2015
Wikitanvir,10/07/2011,03/03/2015
MBisanz,02/28/2012,01/01/2018
Tegel,02/28/2012,01/01/2018
Teles,02/28/2012,01/01/2018
Billinghurst,02/28/2012,12/14/2015
Elfix,02/28/2012,01/15/2016
Luckas Blade,02/28/2012,02/14/2013
Pundit,02/28/2012,03/13/2016
Snowolf,02/28/2012,03/13/2016
MF-Warburg,02/28/2013,01/01/2018
QuiteUnusual,02/28/2013,01/01/2018
Amqui,02/28/2013,03/08/2014
BRUTE,02/28/2013,09/12/2013
Mathonius,02/28/2013,01/16/2016
Ajraddatz,02/28/2014,01/01/2018
Hoo man,02/28/2014,01/01/2018
Shanmugamp7,02/28/2014,01/01/2018
Rschen7754,02/28/2014,03/06/2015
Savh,02/28/2014,09/21/2017
SPQRobin,02/28/2014,11/14/2016
TBloemink,02/28/2014,09/25/2014
Linedwell,02/28/2015,01/01/2018
Pmlineditor,02/28/2015,01/01/2018
RadiX,02/28/2015,01/01/2018
Stryn,02/28/2015,01/01/2018
Einsbor,02/28/2015,12/31/2017
Taketa,02/28/2015,03/13/2016
Masti,02/28/2016,01/01/2018
NahidSultan,02/28/2016,01/01/2018
Defender,02/28/2017,01/01/2018
HakanIST,02/28/2017,01/01/2018
Matiia,02/28/2017,01/01/2018
Sjoerddebruin,02/28/2017,01/01/2018
علاء,02/28/2018,01/01/2018
Green Giant,02/28/2018,01/01/2018
-revi,02/28/2018,01/01/2018
Rxy,02/28/2018,01/01/2018
There'sNoTime,02/28/2018,01/01/2018
