username,start_date,end_date
AlvaroMolina,05/31/2017,01/01/2018
Tulsi Bhagat,01/05/2017,01/01/2018
Samuele2002,02/15/2017,01/01/2018
Spinster,05/24/2017,01/01/2018
Fuzheado,05/24/2017,01/01/2018
Hjfocs,07/04/2017,01/01/2018
Xaosflux,07/07/2017,01/01/2018
Rachmat04,10/14/2017,01/01/2018
Bjankuloski06,01/01/2013,01/01/2018
Jon Harald Søby,01/19/2013,01/11/2013
Jon Harald Søby,08/18/2014,03/31/2017
Giftzwerg 88,07/14/2014,01/01/2018
Brackenheim,09/14/2014,01/01/2018
GZWDer,09/21/2014,01/01/2018
Almondega,08/29/2015,01/01/2018
Pamputt,09/29/2015,01/01/2018
Ochilov,11/26/2015,01/01/2018
Jura1,11/29/2015,01/01/2018
HakanIST,01/05/2016,01/01/2018
Srittau,09/01/2016,01/01/2018
Happy5214,07/11/2016,01/01/2018
Lea Lacroix (WMDE),09/01/2016,01/01/2018
Atlantia,02/01/2013,01/01/2018
Ата,03/01/2013,01/01/2018
Base,03/18/2013,01/01/2018
Michgrig,04/12/2013,01/01/2018
Byrial,04/14/2013,01/01/2018
The Anonymouse,05/01/2013,01/01/2018
Docu,05/05/2013,06/05/2013
Chrumps,05/10/2013,04/30/2016

